rid,name,summary,level,life,power,speed,accuracy,skill,effect
110001,士兵,站出来反抗奥赛帝国的士兵,1,5,1,4.8,1,反击,0
110101,原力使,因为在宇宙中生存并繁衍了几百年，而致使超能力觉醒的新人类,1,6,3,3,0.3,基础剑法,0
110102,沉思者,因为超能力觉醒，而开始思考起未来的新人类,2,30,17,3.2,0.3,原力吸引,0
110103,光明圣堂,认识到了自己的使命与责任，而不惧艰难走上“正义的伙伴”之路的新人类,3,145,100,1.9,0.4,原力风暴,110102
110104,光明执政官,执行绝对的正义，“正义的伙伴”中的领导者们,4,680,345,2.8,0.5,忠义之剑,0
110105,绝地武士,他们中的大多数都师从尤达大师，善良、博爱的内心，毫无疑问，他们就是正义的战士，人类的守护者！,5,2600,1800,3,0.5,尤达剑法,0
110106,天行者,继承了“天行者”之名的绝地武士，他们手中的剑，终将会为他们带来最终的胜利！,6,4100,3500,3,0.6,心头灭却,0
110112,狂热者,因为超能力觉醒，而变得野心勃勃的新人类,2,36,12,3.4,0.3,原力爆发,0
110113,黑暗圣堂,认为自己的能力能够改变世界，而毅然走上“力量支配者”之路的新人类,3,168,100,2.1,0.4,原力闪电,110402
110114,黑暗执政官,拥有绝对的力量，“力量支配者”中的领导者们,4,800,260,3.4,0.4,影之束缚,0
110115,西斯大师,他们接受了西迪厄斯与摩尔的教导，从而拥有了支配黑暗的绝对力量,5,2700,3000,2,0.6,摩尔剑法,110404
110116,黑武士,继承了“黑武士”之名的西斯大师，他们手中的剑，只为遵从自己的内心而挥斩,6,4300,3400,2,0.6,罪歌,110405
110201,机枪兵,拿起手中的枪，为了自由而战,1,3,3,4.7,0.2,机枪连射,0
110202,狙击兵,弹无虚发！狙击镜就是他们的千里眼,2,27,13,4.3,0.3,百发百中,110201
110203,火焰兵,他们的愿望是焚烬世间一切的黑暗，而在愿望实现之后，也许，他们自己就成了黑暗......,3,144,80,3.1,0.4,火焰放射,110402
110204,电浆兵,人型发电机，拿起手中的电浆枪，成为星际间的雷神,4,605,345,3,0.5,电浆射击,110203
