iid,name,summary
100101,金币,[金币]请在主界面[炼金]获得
110103,太空植物,[太空植物]请在生产界面分配[种植机器人]获得
110104,太空能量,[太空能量]请在生产界面分配[能量机器人]获得
110105,单晶硅,[单晶硅]请在生产界面[采矿]获得
110106,金刚石,[金刚石]请在生产界面[采矿]获得
110107,钛,[钛]请在生产界面分配[钛矿机器人]获得
110108,金,[金]请在生产界面分配[金矿机器人]获得
110109,钛合金,[钛合金]请在生产界面分配[钛合金机器人]获得
110110,金块,[金块]请在生产界面分配[压制机器人]获得
110111,贫铀,[贫铀]请在生产界面分配[炼铀机器人]获得
110112,灵核,[灵核]请在生产界面分配[灵核机器人]获得
110113,三钛合金,[三钛合金]请在生产界面分配[三钛机器人]获得
110114,稀土,[稀土]请在生产界面分配[稀土机器人]获得
110115,浓缩铀,[浓缩铀]请在生产界面分配[精炼机器人]获得
110116,月神合金,[月神合金]请在生产界面分配[月神机器人]获得
110117,超噬矿,[超噬矿]请在生产界面分配[核变机器人]获得
110118,生物纤维,[生物纤维]在地图[废弃卫星·边境7]通过战斗可获得
110119,纳米纤维,[纳米纤维]在地图[废弃卫星·边境7]通过战斗可获得
110120,月神纤维,[月神纤维]在地图[冰雪行星·霍斯]通过战斗可获得
110121,魂晶,[魂晶]在地图建筑[教堂]处[安葬]死去的伙伴获得
110202,身份识别牌,[身份识别牌]在地图建筑[地下竞技殿]处战斗获胜可获得
110203,花名册,[花名册]请在主界面[制作]中获得
110204,奥利哈刚,[奥利哈刚]在地图[圣山·格鲁赛特]中[山中修炼所]通过战斗可获得
110205,原力水晶,[原力水晶]在地图[鹿的圣殿]中[水晶密室]通过战斗可获得
110401,纳米袍,[纳米袍]请在主界面[制作]中获得
110402,金刚石杖,[金刚石杖]请在主界面[制作]中获得
110403,机枪,[机枪]请在主界面[制作]中获得
110404,生物服,[生物服]请在主界面[制作]中获得
110405,钛制剑,[钛制剑]请在主界面[制作]中获得
110406,钛制拳刃,[钛制拳刃]请在主界面[制作]中获得
110407,钛制服,[钛制服]请在主界面[制作]中获得
110501,钛合金剑,[钛合金剑]请在主界面[制作]中获得
110502,钛合金长剑,[钛合金长剑]请在主界面[制作]中获得
110503,钛合金服,[钛合金服]请在主界面[制作]中获得
110504,金刚石权杖,[金刚石权杖]请在主界面[制作]中获得
110505,反器材枪,[反器材枪]请在主界面[制作]中获得
110506,防护服,[防护服]请在主界面[制作]中获得
110507,月神袍,[月神袍]请在主界面[制作]中获得
110508,火焰枪,[火焰枪]请在主界面[制作]中获得
110509,三钛拳刃,[三钛拳刃]请在主界面[制作]中获得
110510,三钛防护服,[三钛防护服]请在主界面[制作]中获得
110511,三钛合金服,[三钛合金服]请在主界面[制作]中获得
110512,三钛合金剑,[三钛合金剑]请在主界面[制作]中获得
110513,超噬权杖,[超噬权杖]请在主界面[制作]中获得
110514,月神长袍,[月神长袍]请在主界面[制作]中获得
110515,月神服,[月神服]请在主界面[制作]中获得
110516,星尘杖,[星尘杖]请在主界面[制作]中获得
110517,月神剑,[月神剑]请在主界面[制作]中获得
110518,月神防护服,[月神防护服]请在主界面[制作]中获得
110519,电浆枪,[电浆枪]请在主界面[制作]中获得
110520,学识袍,[学识袍]请在主界面[制作]中获得
110521,阿塔鲁,[阿塔鲁]请在主界面[制作]中获得
110522,双头光剑,[双头光剑]请在主界面[制作]中获得
110523,神言集,[神言集]请在主界面[制作]中获得
110524,神恩集,[神恩集]请在主界面[制作]中获得
110525,万象全书,[万象全书]请在主界面[制作]中获得
110526,时间简史,[时间简史]请在主界面[制作]中获得
110527,魔法神刀,[魔法神刀]请在主界面[制作]中获得
110528,隐形兵服,[隐形兵服]请在主界面[制作]中获得
110601,卢克的光剑,[卢克的光剑]在地图[圣山·格鲁赛特]中[山中藏宝阁]通过战斗可获得
110602,黑暗盔甲,[黑暗盔甲]在地图[圣山·格鲁赛特]中[山中藏宝阁]通过战斗可获得
110603,士官长铭牌,[士官长铭牌]在地图[圣山·格鲁赛特]中[山中藏宝阁]通过战斗可获得
110604,哈桑的面具,[哈桑的面具]在地图[圣山·格鲁赛特]中[山中藏宝阁]通过战斗可获得
110605,神之泪,[神之泪]在地图[圣山·格鲁赛特]中[山中藏宝阁]通过战斗可获得
110606,涅槃之杖,[涅槃之杖]在地图[圣山·格鲁赛特]中[山中藏宝阁]通过战斗可获得
